0:0:0:0:0:0:0:1 - - [10/Oct/2024:17:59:09 -0500] "GET /DemoMVC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:17:59:12 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [10/Oct/2024:17:59:12 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:17:59:16 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [10/Oct/2024:17:59:16 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:11 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:11 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:12 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:12 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:13 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /DemoMVC/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [10/Oct/2024:18:00:14 -0500] "GET /build/constrast-bootstrap-pro/js/cdb.js HTTP/1.1" 404 610
